date_time,username,names,gender,email,start,end,country,continent,broadcast,age,game,duration
0.005033565,robertrodriguez,Robert Rodriguez,Male,robert.rodriguez@gmail.com,11/08/2023 11:00,11/08/2023 23:00,South Africa,South America,repeat,65,pool,0.5
0.005033565,janekane,Jane Kane,Female,jane.kane@gmail.com,17/01/2020 20:00,18/01/2020 01:00,Brazil,Asia,highlights,20,rugby,0.208333333
0.005033565,robertkane,Robert Kane,Female,robert.kane@gmail.com,18/03/2020 04:00,18/03/2020 12:00,UK,North America,repeat,25,pool,0.333333333
0.005033565,nathankeith,Nathan Keith,Female,nathan.keith@gmail.com,06/11/2020 02:00,06/11/2020 09:00,China,Asia,highlights,51,tennis,0.291666667
0.005033565,olivermartinez,Oliver Martinez,Male,oliver.martinez@gmail.com,05/06/2020 06:00,05/06/2020 10:00,South Africa,Europe,live,30,pool,0.166666667
0.005033565,nathankeith,Nathan Keith,Male,nathan.keith@gmail.com,14/11/2021 10:00,14/11/2021 13:00,Mexico,Europe,repeat,61,rugby,0.125
0.005033565,emmagarcia,Emma Garcia,Male,emma.garcia@gmail.com,31/07/2023 22:00,01/08/2023 05:00,Brazil,South America,repeat,47,rugby,0.291666667
0.005033565,sophiabrookes,Sophia Brookes,Male,sophia.brookes@gmail.com,20/02/2021 20:00,21/02/2021 10:00,Botswana,Europe,live,49,football,0.583333333
0.005033565,oliversmith,Oliver Smith,Male,oliver.smith@gmail.com,23/03/2021 18:00,23/03/2021 22:00,Brazil,Asia,live,73,pool,0.166666667
0.005033565,mikejohnson,Mike Johnson,Female,mike.johnson@gmail.com,29/08/2023 18:00,29/08/2023 21:00,Brazil,Europe,highlights,46,football,0.125
0.005033565,robertbrookes,Robert Brookes,Male,robert.brookes@gmail.com,02/08/2020 01:00,02/08/2020 09:00,South Africa,Asia,live,67,pool,0.333333333
0.005033565,robertmiller,Robert Miller,Male,robert.miller@gmail.com,14/03/2023 16:00,15/03/2023 05:00,USA,Europe,repeat,42,pool,0.541666667
0.005033565,janemartinez,Jane Martinez,Male,jane.martinez@gmail.com,13/08/2021 19:00,14/08/2021 01:00,China,South America,highlights,52,rugby,0.25
0.005033565,janerose,Jane Rose,Female,jane.rose@gmail.com,12/11/2020 01:00,12/11/2020 14:00,Brazil,North America,live,28,football,0.541666667
0.005033565,waynesmith,Wayne Smith,Male,wayne.smith@gmail.com,21/12/2021 16:00,21/12/2021 22:00,Brazil,Europe,live,42,tennis,0.25
0.005033565,emmapalmer,Emma Palmer,Female,emma.palmer@gmail.com,22/01/2022 21:00,23/01/2022 01:00,Mexico,South America,highlights,20,tennis,0.166666667
0.005033565,nathanbrookes,Nathan Brookes,Female,nathan.brookes@gmail.com,24/10/2023 17:00,25/10/2023 03:00,China,Africa,live,30,rugby,0.416666667
0.005033565,janemartinez,Jane Martinez,Female,jane.martinez@gmail.com,02/02/2020 15:00,02/02/2020 23:00,UK,North America,live,19,pool,0.333333333
0.005033565,emmapalmer,Emma Palmer,Male,emma.palmer@gmail.com,26/08/2020 15:00,26/08/2020 22:00,Zimbabwe,Asia,highlights,18,pool,0.291666667
0.005033565,emmakane,Emma Kane,Female,emma.kane@gmail.com,08/09/2020 13:00,09/09/2020 01:00,France,Europe,highlights,19,rugby,0.5
0.005033565,emmakeith,Emma Keith,Male,emma.keith@gmail.com,18/03/2024 21:00,19/03/2024 02:00,Canada,Europe,highlights,32,football,0.208333333
0.005033565,silverdavis,Silver Davis,Female,silver.davis@gmail.com,24/03/2023 00:00,24/03/2023 04:00,France,Africa,highlights,31,football,0.166666667
0.005033565,prettyrose,Pretty Rose,Male,pretty.rose@gmail.com,26/01/2020 13:00,26/01/2020 19:00,Brazil,South America,highlights,21,tennis,0.25
0.005033565,emmakeith,Emma Keith,Female,emma.keith@gmail.com,14/01/2023 00:00,14/01/2023 13:00,Canada,Asia,live,20,pool,0.541666667
0.005033565,jamesmiller,James Miller,Female,james.miller@gmail.com,02/11/2023 23:00,03/11/2023 02:00,UK,Asia,highlights,43,rugby,0.125
0.005033565,williampalmer,William Palmer,Male,william.palmer@gmail.com,04/01/2024 07:00,04/01/2024 18:00,Spain,North America,live,71,tennis,0.458333333
0.005033565,nathankane,Nathan Kane,Female,nathan.kane@gmail.com,30/10/2023 15:00,31/10/2023 04:00,USA,North America,highlights,80,rugby,0.541666667
